route_b_item,similar_item,similarity_rank,similarity_score,similar_cat,similar_dept,similar_price_band
FOODS_3_189,FOODS_3_062,1,1.0,FOODS,FOODS_3,low
FOODS_3_189,FOODS_3_395,2,0.97223526,FOODS,FOODS_3,mid
FOODS_3_189,FOODS_2_186,3,0.9523345,FOODS,FOODS_2,high
FOODS_3_189,FOODS_3_583,4,0.9404401,FOODS,FOODS_3,low
FOODS_3_189,FOODS_3_118,5,0.9404401,FOODS,FOODS_3,low
FOODS_3_439,FOODS_3_583,1,0.9854253,FOODS,FOODS_3,low
FOODS_3_439,FOODS_3_744,2,0.9854253,FOODS,FOODS_3,low
FOODS_3_439,FOODS_3_118,3,0.9854253,FOODS,FOODS_3,low
FOODS_3_439,FOODS_3_395,4,0.9811373,FOODS,FOODS_3,mid
FOODS_3_439,FOODS_1_101,5,0.95425117,FOODS,FOODS_1,low
HOBBIES_2_139,HOBBIES_2_024,1,0.99093664,HOBBIES,HOBBIES_2,mid
HOBBIES_2_139,HOBBIES_2_080,2,0.99093664,HOBBIES,HOBBIES_2,mid
HOBBIES_2_139,HOBBIES_1_184,3,0.97421837,HOBBIES,HOBBIES_1,high
HOBBIES_2_139,HOBBIES_1_107,4,0.96440434,HOBBIES,HOBBIES_1,mid
HOBBIES_2_139,HOUSEHOLD_2_188,5,0.8297563,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_1_486,HOUSEHOLD_1_004,1,0.93215966,HOUSEHOLD,HOUSEHOLD_1,low
HOUSEHOLD_1_486,HOUSEHOLD_1_375,2,0.8912258,HOUSEHOLD,HOUSEHOLD_1,high
HOUSEHOLD_1_486,HOUSEHOLD_1_331,3,0.88304055,HOUSEHOLD,HOUSEHOLD_1,mid
HOUSEHOLD_1_486,HOUSEHOLD_2_402,4,0.8651923,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_1_486,HOUSEHOLD_2_349,5,0.8651923,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,HOUSEHOLD_2_488,1,0.9999999,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,HOUSEHOLD_2_130,2,0.9999999,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,HOUSEHOLD_2_188,3,0.9999999,HOUSEHOLD,HOUSEHOLD_2,high
HOUSEHOLD_2_364,HOUSEHOLD_2_498,4,0.9875164,HOUSEHOLD,HOUSEHOLD_2,mid
HOUSEHOLD_2_364,HOUSEHOLD_2_422,5,0.9875164,HOUSEHOLD,HOUSEHOLD_2,mid
